engine,indexing,access,operation,valueType,size,samples,avg_ms,min_ms,max_ms,stddev_ms
GRDB,default,read,equality,int,10,10,0.2387,0.0582,1.7160,0.5198
GRDB,default,read,equality,int,100,10,0.0991,0.0672,0.3254,0.0799
GRDB,default,read,equality,int,1000,10,0.2395,0.1973,0.4390,0.0735
GRDB,default,read,equality,int,10000,10,1.2234,0.7355,1.6850,0.3392
GRDB,default,read,equality,int,100000,10,9.8965,7.1212,18.7289,3.5803
GRDB,default,read,equality,string,10,10,0.0835,0.0575,0.2637,0.0639
GRDB,default,read,equality,string,100,10,0.2100,0.0970,0.8010,0.2155
GRDB,default,read,equality,string,1000,10,0.2448,0.2131,0.4455,0.0714
GRDB,default,read,equality,string,10000,10,2.0776,1.7641,2.8264,0.3608
GRDB,default,read,equality,string,100000,10,8.7950,8.0873,13.5420,1.6798
GRDB,default,read,notEqual,int,10,10,0.1359,0.0715,0.4631,0.1191
GRDB,default,read,notEqual,int,100,10,0.4048,0.2600,1.1718,0.2813
GRDB,default,read,notEqual,int,1000,10,2.0461,1.6333,3.8075,0.6399
GRDB,default,read,notEqual,int,10000,10,10.6151,8.2937,16.4683,2.6977
GRDB,default,read,notEqual,int,100000,10,84.0699,80.7048,100.0484,5.6985
GRDB,default,read,notEqual,string,10,10,0.1725,0.1318,0.3979,0.0805
GRDB,default,read,notEqual,string,100,10,0.4533,0.2587,1.1960,0.3028
GRDB,default,read,notEqual,string,1000,10,1.5722,0.8625,4.1640,1.0400
GRDB,default,read,notEqual,string,10000,10,11.0965,8.4155,18.6451,3.3693
GRDB,default,read,notEqual,string,100000,10,85.7937,82.1633,109.9120,8.5010
GRDB,default,read,comparison,int,10,10,0.1120,0.0625,0.4594,0.1232
GRDB,default,read,comparison,int,100,10,0.3606,0.1815,0.9403,0.2185
GRDB,default,read,comparison,int,1000,10,0.9592,0.8401,1.1625,0.1237
GRDB,default,read,comparison,int,10000,10,6.7042,4.9826,11.3537,2.1510
GRDB,default,read,comparison,int,100000,10,42.7288,40.7245,48.4032,2.0757
GRDB,default,read,comparison,string,10,10,0.0762,0.0577,0.2036,0.0452
GRDB,default,read,comparison,string,100,10,0.1502,0.1219,0.3524,0.0714
GRDB,default,read,comparison,string,1000,10,0.9091,0.6790,2.0697,0.4201
GRDB,default,read,comparison,string,10000,10,5.1414,4.0421,8.5988,1.6546
GRDB,default,read,comparison,string,100000,10,35.4592,32.3308,56.5499,7.5172
